path,variant,method,num_speculative_tokens,draft_tensor_parallel_size,prompt_lookup_max,workload,concurrency,repeat,success_rate,output_tokens_per_second,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,acceptance_rate,mean_acceptance_length,speedup_vs_baseline
results/smoke-screening-20260913-debug/baseline-3391425/code/c1/repeat-01,baseline,none,,,,code,1,1,1.0,70.46974580539374,27.751603513024747,30.49125950783491,14.150161672427316,14.166318852297582,,,0.9994265599172639
results/smoke-screening-20260913-debug/baseline-3391425/code/c8/repeat-01,baseline,none,,,,code,8,1,1.0,540.6142187291132,44.78542983997613,66.70471947873011,14.700184079548514,14.706115846099046,,,1.002003827325702
results/smoke-screening-20260913-debug/baseline-3391425/long_context_summarization/c1/repeat-01,baseline,none,,,,long_context_summarization,1,1,1.0,70.21602782996129,33.5973211331293,36.52248587459326,14.158176855179724,14.176949262596949,,,0.9995300349620089
results/smoke-screening-20260913-debug/baseline-3391425/long_context_summarization/c8/repeat-01,baseline,none,,,,long_context_summarization,8,1,1.0,493.6571058686475,45.67884199786931,70.48749225214124,14.716388219439306,14.732173119416377,,,1.0020566794281862
results/smoke-screening-20260913-debug/baseline-3391425/open_chat/c1/repeat-01,baseline,none,,,,open_chat,1,1,1.0,70.12972149602668,31.01577004417777,35.53785252152011,14.129014411718456,14.138498527170963,,,0.9999573095456659
results/smoke-screening-20260913-debug/baseline-3391425/open_chat/c8/repeat-01,baseline,none,,,,open_chat,8,1,1.0,432.25749510362783,44.3590774666518,64.93447046959773,14.69453933682549,14.714398575106081,,,1.000832269074765
results/smoke-screening-20260913-debug/baseline-3405008/code/c1/repeat-02,baseline,none,,,,code,1,2,1.0,70.55061253134583,26.36481064837426,27.164800581522286,14.14084308093788,14.148357625492647,,,1.0005734400827362
results/smoke-screening-20260913-debug/baseline-3405008/code/c8/repeat-02,baseline,none,,,,code,8,2,1.0,538.4519564410666,44.296758132986724,66.4394349209033,14.750549680974054,14.754404080423768,,,0.9979961726742982
results/smoke-screening-20260913-debug/baseline-3405008/long_context_summarization/c1/repeat-02,baseline,none,,,,long_context_summarization,1,2,1.0,70.28205701774442,31.895399908535182,34.723565191961825,14.152179933965805,14.15821906722461,,,1.0004699650379911
results/smoke-screening-20260913-debug/baseline-3405008/long_context_summarization/c8/repeat-02,baseline,none,,,,long_context_summarization,8,2,1.0,491.63068473886193,45.53927865345031,77.43838710011914,14.788672813140973,14.814442109547954,,,0.9979433205718138
results/smoke-screening-20260913-debug/baseline-3405008/open_chat/c1/repeat-02,baseline,none,,,,open_chat,1,2,1.0,70.13570949100287,30.991344479843974,34.43909848574549,14.128791818499046,14.148465304815879,,,1.000042690454334
results/smoke-screening-20260913-debug/baseline-3405008/open_chat/c8/repeat-02,baseline,none,,,,open_chat,8,2,1.0,431.5385843398038,44.13075791671872,67.6287291222252,14.727398809240594,14.751883436512323,,,0.9991677309252349
results/smoke-screening-20260913-debug/draft-n3-tp4-3391426/code/c1/repeat-01,draft-n3-tp4,draft_model,3,4,,code,1,1,1.0,33.01537628400447,131.12756691407412,133.49370927317068,30.160477702255427,31.152575448892193,0.7874818049490538,3.3624454148471616,0.468235603332786
results/smoke-screening-20260913-debug/draft-n3-tp4-3391426/code/c8/repeat-01,draft-n3-tp4,draft_model,3,4,,code,8,1,1.0,255.17896653041808,218.02396804559976,251.06144183082506,30.069864900933467,30.942968094105012,0.7858094200266376,3.357428260079913,0.4729625900657552
results/smoke-screening-20260913-debug/draft-n3-tp4-3391426/long_context_summarization/c1/repeat-01,draft-n3-tp4,draft_model,3,4,,long_context_summarization,1,1,1.0,29.42025630021274,120.28303404804319,132.50504455063492,32.720212998670405,36.782325995519905,0.6314699792960663,2.8944099378881987,0.4187993926337589
results/smoke-screening-20260913-debug/draft-n3-tp4-3391426/long_context_summarization/c8/repeat-01,draft-n3-tp4,draft_model,3,4,,long_context_summarization,8,1,1.0,211.96595167755117,198.44826601911336,234.4543559011072,31.36211582968766,34.18852263153074,0.6202338586680224,2.8607015760040673,0.4302620081120808
results/smoke-screening-20260913-debug/draft-n3-tp4-3391426/open_chat/c1/repeat-01,draft-n3-tp4,draft_model,3,4,,open_chat,1,1,1.0,31.0126732695681,111.62124352995306,113.47290540579706,31.864067355517847,32.49081057331325,0.6276595744680851,2.882978723404255,0.44219980719890795
results/smoke-screening-20260913-debug/draft-n3-tp4-3391426/open_chat/c8/repeat-01,draft-n3-tp4,draft_model,3,4,,open_chat,8,1,1.0,190.5939564277659,197.11150752846152,221.91237719962373,32.54491677104559,33.797205998652984,0.6330956625074272,2.8992869875222818,0.4412938677623335
results/smoke-screening-20260913-debug/draft-n3-tp4-3392153/code/c1/repeat-02,draft-n3-tp4,draft_model,3,4,,code,1,2,1.0,32.46565710703983,128.0825735302642,140.3792893863283,30.543017312981597,32.41316932469349,0.7973568281938326,3.392070484581498,0.46043929387153826
